gene_name	C1	C2	C3	P1	P2	P3
TIMMDC1	33.90084785	33.72972477	34.58270613	33.96900519	32.12654397	27.24496568
HMGB1P6	35.13156696	37.45869631	30.30196474	42.46051097	45.31817393	38.75818356
OPTN	37.35827162	34.89049328	30.03588613	35.11908888	33.77094996	20.64931716
SF1	33.71952889	31.10531476	30.87237743	32.95878043	35.03097539	52.27261181
NCSTN	47.40967746	47.92328737	38.88665142	32.86195367	34.82349038	31.66085566
LIPA	25.64360131	81.02130538	32.51838835	17.60865872	23.75182347	106.0646819
GTF3A	27.33179421	31.41121227	29.54121245	40.09938692	33.05125249	46.59463181
S100A4	31.35263536	28.10237755	11.66958623	38.7626945	7.939498913	203.880535
TGM2	34.63536116	11.89899875	11.31928189	27.05325968	13.14706169	60.5442475
SELL	24.33683848	13.20962058	15.91902711	40.51547916	15.25652254	81.48628646
COPZ1	35.04110599	34.98339943	37.80966184	40.37221346	38.62089741	31.22163551
KLF6	31.49172696	23.44248088	18.21418676	30.96411319	20.72722539	49.33284291
DCTD	42.75184245	60.03238107	48.08788509	43.27481119	34.82991536	19.62638102
MCFD2	40.62743898	37.15789543	44.75254145	34.84472728	47.7072636	19.82711719
AC027309.2	41.58997423	29.77382854	21.63547803	43.28232127	29.98138789	29.47513403
GARS	42.51619623	26.46530378	30.05457116	32.99149547	35.89918745	22.93710282
SELENOK	36.69403361	27.82846118	30.74752354	52.1438994	35.38301987	24.31878703
DDX41	29.69641891	43.03731411	52.70831325	43.89455231	38.95498883	27.54870081
PAPSS2	39.92350783	50.90625272	49.30867273	32.83552391	29.95600216	22.42874403
TUBB6	18.02256285	24.98307362	26.36569369	45.47614788	65.99361341	25.32559324
DUSP23	27.58775282	48.65541533	35.64257844	34.4323216	36.26147615	47.55593792
BCL3	30.71841791	25.27489563	22.64032243	39.85665118	28.51014313	51.36251834
MT-TR	15.70268084	58.91615841	24.51260904	28.60963764	24.45954106	43.97222793
SRSF7	32.87709554	30.13092725	32.22934112	39.16364102	36.44483087	43.28628291
CREB3	37.78642951	35.88028776	33.89893575	38.81330428	40.67304682	26.22197078
ATP5F1E	41.77134528	27.86505796	20.53974277	35.901935	20.72725702	42.87573486
PSMA3	32.2517528	29.61706101	31.97774611	39.20358296	37.31923918	34.86500917
MRPS21	35.63597248	30.77736949	30.5500687	49.89742656	39.05436609	27.7981653
PRPF6	33.41886014	34.42611673	33.82134387	39.11730639	33.37606423	44.42537133
SNRPG	34.58066703	26.49184454	26.09725353	46.54996048	34.49753475	30.13742832
PCNP	35.21538142	31.86051697	33.56324161	37.08183688	36.76479118	31.05060246
IGFBP1	17.29522543	55.16272206	10.22336172	137.9926065	25.97587029	4.212443029
CTNNB1	34.96484444	35.64903526	57.80920327	32.61245355	42.16516714	24.05365753
KIF5B	37.33799645	34.12736605	38.24983643	24.47971866	40.79489806	27.63668768
MT1X	68.73098545	10.41241238	26.98587026	45.36002552	43.29978058	8.275028417
GMFG	28.11655644	20.83276641	15.04601402	43.04070576	10.86192727	91.14099606
CS	41.14888258	46.11043219	62.602699	28.67081471	41.65048905	21.71888702
USO1	41.84979059	31.73025545	39.35423972	29.8166457	38.64383945	19.56131587
ARL8B	32.91952183	31.19669247	28.5082225	30.68501468	28.40735598	52.36670084
PTAFR	29.72020343	14.99627586	8.830439391	28.15900016	9.002559057	95.47240096
LYPLA2	29.76731389	33.50365626	32.68968759	48.53799855	41.20549381	47.68843601
GRK2	31.04747141	28.50696332	26.69380904	33.17617804	21.64026398	66.28137325
LRP10	41.09486281	43.40721523	32.40937266	35.39214248	31.80941856	39.00604725
HCLS1	26.26514177	17.9372079	12.93837538	28.59454076	10.80746156	73.76421098
MGAT1	30.68371119	31.22635172	20.85244623	28.58476856	19.73935034	91.87407488
PLEKHM2	36.49725949	30.36832338	24.37771261	29.36592622	24.67968224	66.16575806
IGF2R	41.52269404	33.22018635	34.637521	17.71767617	26.64803154	35.62531676
KHSRP	31.77641548	35.74767529	37.39993616	37.41769738	45.13925522	37.8085994
GSTA4	51.83814705	70.21462994	71.85484576	32.61095283	29.45991927	3.591448983
VDAC3	33.12467994	35.03472609	40.7685739	45.28856847	35.8306332	29.00425295
CTNNA1	32.37246104	34.79638	39.51076845	37.13198051	43.26865782	26.68511671
C5AR1	26.940874	26.30854391	18.507327	33.62495104	12.59599778	88.96661729
LAMTOR2	31.77342338	33.42394385	27.38369647	43.03942467	27.25905642	37.36722012
ALKBH7	31.20084908	35.90028852	25.04204423	32.59237797	22.47095422	34.36109778
NDUFS4	39.27637177	41.98010843	34.60787861	43.60974498	36.84449167	17.67503778
SZRD1	30.60224867	35.38142209	38.01618104	36.37291289	41.11155137	31.88496536
EVI2B	42.24042211	17.18072055	12.75583367	34.08976792	7.793872402	79.18628042
BCL6	35.05685119	17.48422559	15.44352772	37.34877703	19.12713264	38.88608714
PPP2R1A	29.45693388	43.97083246	40.7456995	40.78829591	49.72018936	26.0564961
APH1A	34.54052542	42.30072833	30.55757714	36.92948791	28.25607994	49.04935531
SMAD3	34.46006327	50.84295072	44.7671328	37.42174334	49.2467823	15.06602583
ACTR3	32.58305115	34.26401104	37.9314172	29.6890701	35.74562181	34.42466684
AKIRIN2	31.77938264	24.53455042	22.60894525	31.14978304	24.40670861	60.48886567
TOMM40	29.63730686	30.25635306	41.94522579	47.76239324	50.95056278	30.37128895
ATRAID	38.80721098	44.0652147	39.9654563	38.22411963	30.49348773	35.95747811
SLC6A6	37.79574558	31.7041358	29.34148017	24.15638758	18.83672618	47.37109895
ATP2A3	34.47511713	16.61881685	22.9912077	42.03584009	39.32184133	42.24472476
CORO1C	38.03492369	30.26540056	32.81665475	29.41253173	40.05981332	47.11733278
DDB1	44.62733016	69.47736411	46.74716456	31.731126	40.47871151	25.11113667
GABARAPL2	32.99189403	33.59545785	29.3028638	44.28969133	25.26234305	34.52623372
HNRNPH3	38.83078832	25.5140146	26.83704126	32.29599717	29.89609347	39.80088146
CLCN7	30.20491984	25.62076153	20.01316418	23.281923	15.76443074	61.25828006
IFIT3	51.59103795	8.444336369	9.936378419	7.604897274	13.54910899	22.35182701
PRR13	31.69941081	33.68564072	29.31859571	42.02103847	23.12121925	50.18034665
GTF2F1	36.24090866	33.36605018	34.82319782	36.75526455	42.5088782	30.5099377
MFSD10	32.87430124	31.78806906	25.31096163	44.83663796	34.6711559	33.5796851
NOL7	30.55317828	25.77825735	32.25538203	42.52794195	39.44759259	24.18100521
SSR4	36.87361366	34.87644404	27.96588077	43.45766503	33.80197842	25.71373337
TUBBP1	20.28071209	29.13282491	34.5366748	36.61210179	62.3171552	26.56766748
NPM1P27	34.86640615	23.73826358	31.53730681	30.73704857	35.20568343	19.49082248
RBM3	24.03853296	23.64043405	25.41991031	34.49699609	29.42966978	34.67897262
PNN	39.34076357	27.53248152	32.4258218	35.78331879	38.24443407	33.82503215
NDUFAF3	30.38486661	38.24311953	31.00574349	43.10548419	34.50649669	29.02879969
OTUD5	32.9950704	29.91353319	28.89570999	38.06811168	27.30471673	37.60531374
ADPRHL2	29.20160426	30.28840507	39.11953215	47.20167825	45.22657471	26.86806998
CTDSP2	32.76096434	32.18470106	26.58745209	36.60968394	28.72359518	44.24098308
GBP2	36.091958	32.80252137	25.61204278	17.81294542	10.77031595	26.17208986
DOK5	55.33970385	52.81727082	53.73807019	38.22188855	49.4165325	6.624519065
SREBF1	55.87337712	72.58927073	55.94470607	31.21044477	26.48375848	20.30521514
MRPL24	27.80597918	35.06860218	38.30547091	49.50775422	44.57005581	20.97695782
DCN	28.28294887	34.97766691	21.94904938	87.10978302	41.48433397	18.95137142
PDLIM1	13.10250371	15.55116967	12.18829693	18.57956374	14.32736848	4.877027525
POLR2E	24.6569454	34.5426508	30.94096706	33.78210004	37.10410024	40.06167928
GBE1	26.77322277	36.19301459	60.31779316	48.62977136	45.13388206	11.49177447
NPTN	34.90400988	34.83937126	36.3413933	42.90758256	40.98136195	31.34657111
PCNA	27.21683896	45.17593189	33.42061247	39.72250896	42.04537818	42.65901599
TPM2	30.14243794	35.76248666	23.99168447	35.18202328	52.8596049	20.1142205
CDK2AP2	22.71931739	20.86431563	23.16756352	33.53245435	26.52906279	35.92916514
MRPL54	23.10155525	28.73641803	31.25402092	43.00976141	38.01439963	24.72265972
SUMO2	29.66117116	32.541198	30.27076064	41.90130528	33.76500936	35.97500882
HEXB	39.77103835	39.75246627	24.73605399	26.64058575	19.68821931	78.16008713
DDRGK1	41.5886087	39.17163893	35.03712755	38.25582517	34.56369608	34.22969118
CHPF2	41.83500828	33.27403987	34.85978646	37.05156439	45.86627787	30.91336509
NDUFA4	30.80914181	32.72955439	29.0358112	40.9698112	35.4188016	24.7748756
ARFGAP3	31.60658042	27.02968589	27.90447752	32.38579513	27.05142728	23.19390599
UCP2	23.17519595	28.38920919	15.37904769	30.44031386	8.419695434	125.5406414
GASK1B	45.46404359	49.978829	48.45528659	33.62903156	38.34139026	15.66929137
CORO1A	19.78313644	16.11127709	15.53740103	31.56802747	12.36924597	102.5100871
ALKBH5	35.88040898	35.23317588	37.57799401	37.52110081	35.38153457	31.52665872
TRIB2	82.90132064	75.76309183	54.10122713	19.17689108	19.33386897	15.82348481
LSM7	25.06994192	22.58214712	23.35572688	36.32944608	23.57458732	32.61664783
ACTR1A	28.51722724	33.52697095	37.08862689	34.58086236	39.08870026	39.05073904
CLK1	33.17859081	21.11604136	25.13914022	32.13655713	22.90481935	39.71619256
COX6C	37.36981915	33.9102905	27.73873387	44.57069286	28.8266054	29.21429214
IQGAP1	34.37397181	32.12260839	34.80422866	23.02412925	26.62782287	42.90645454
CLPTM1	37.01365623	38.23504584	43.23384357	35.90593753	41.14692245	31.07831065
RAB6A	33.25726378	33.14626867	41.28349072	31.20505214	36.7614926	20.52576179
DPM3	30.59899175	49.70081353	41.90057253	47.46233094	35.16787878	32.80950319
BAX	32.00413373	28.34034129	20.12655893	34.16713164	25.45131591	63.06368769
IARS2	33.94745583	42.73623239	48.26197784	32.73178654	41.4189585	21.87020168
CSNK1G2	32.5843392	30.35586021	26.47305281	38.16328738	29.21675885	43.76870664
ANPEP	29.14978042	22.95323055	14.56234684	28.09507581	23.68718925	63.64991291
BTG2	27.74411659	16.66833644	11.55835755	32.33436445	16.30574886	73.9377781
AC099560.2	44.49998481	18.7178929	15.17447226	25.98007536	13.3295403	26.00396852
PRKCD	28.13685185	17.68232674	17.81501493	41.12413072	19.81448658	50.78251634
SRSF3	26.58682422	25.45017972	33.63251869	37.46586894	39.82724053	33.50488556
ZMIZ1	48.61176559	40.64328814	54.63158085	28.39016605	56.44556165	18.03308306
B4GALT5	41.95910308	25.25859095	24.64405637	25.81994047	28.88604318	33.99326998
NUCKS1	41.5315448	38.68441255	39.45974568	29.12424734	35.25375007	20.92788947
COPA	35.85354949	32.0529704	35.56516937	26.44126118	36.24686062	28.1432554
ITPA	21.08498945	33.03750909	37.79943851	37.85445828	36.1064659	29.87711367
RGS2	33.21159467	8.665343694	16.13377798	34.62307381	10.73881786	20.75202749
TMEM141	17.72637314	38.34462514	29.61728239	23.41422004	15.20852437	12.68630724
HCAR3	12.44012453	6.397700757	3.431969651	7.462022464	2.186524787	19.68484367
WTAP	25.97068806	16.75493704	16.57526559	30.11236299	20.33746717	35.95807854
IL1R1	40.20625972	32.6708629	26.47490581	37.37430135	23.96731185	24.42085308
CAPN2	38.66736068	46.07497905	33.93045582	22.28410841	43.07940538	18.0447477
TMEM230	29.51802461	40.36582022	37.17148872	31.80899875	31.17603887	31.87013688
CDC34	29.13223306	27.13499208	23.46474955	40.19453942	30.79819867	31.99246573
APOL2	28.69323036	14.63452056	14.93799563	18.52075286	15.85169212	29.6609857
ILRUN	36.63593529	30.06137043	23.64446857	27.32641587	23.94821825	46.16069412
PLEK2	46.14903278	65.72361655	56.10637809	36.14952621	34.66190211	4.444866379
MRFAP1L1	29.86730532	32.19811341	33.06492975	35.91484102	32.74193086	38.17967393
PLEC	25.08867051	50.31682823	44.79733558	16.10249785	35.43126143	37.39153337
DDX3X	32.10527612	24.79582025	29.3043389	25.63758695	28.46372229	35.24003852
BCAS2	29.01839368	34.18741565	34.87538719	37.73534077	35.38621173	28.87020675
TDP2	30.8971321	30.5188758	21.86714344	29.8667751	17.88150457	60.19778801
POLR2G	28.91500023	33.09033996	31.5037841	39.90326202	32.4845658	30.29506176
KLHL4	47.12109235	47.11883905	73.4081729	21.88450862	45.41290686	3.304700728
PITPNA	26.94216768	24.28739882	26.2524746	29.54501051	25.76455787	36.35191473
EIF3J	30.20223486	24.91941907	33.81136409	36.74130042	44.25120813	20.34647157
ZC3H15	32.24205249	29.49278656	36.57594418	33.58896496	38.58996126	20.38329283
PLXNB2	35.94458052	42.15950094	36.4528322	26.60465784	38.29932167	22.86241592
TMEM219	36.01874551	35.07029653	24.41832411	34.27634989	21.28806473	38.76659691
MRPL37	29.25431945	37.01500164	33.93271554	36.1127929	37.7244934	20.29553792
UFC1	29.19071188	31.02755037	29.83409636	39.79379212	29.23899162	35.65938293
CDKN1B	31.50619303	23.82311991	24.84708909	35.66096524	19.53540814	42.43277137
RHEB	27.3262883	34.65457346	31.37546558	37.89785003	28.17966783	22.26366298
STAU1	37.14715779	33.09166569	33.4142324	32.23628832	30.58524221	22.49414679
ARHGEF1	27.55873325	17.86614479	20.18928744	28.841329	18.53676229	62.42620496
DRAM1	30.64460923	12.663745	13.2872917	32.58181171	26.68800091	41.63969096
EPDR1	32.1147401	96.14802538	44.47948952	31.54424807	39.14527767	7.66983213
ERLEC1	44.42749684	35.88704541	39.40708581	31.00722627	36.97175734	17.6211239
MRPL33	32.95910952	25.9752106	25.03490773	42.90220119	32.34992871	16.15663649
BLVRB	25.38564756	44.21477786	25.08303576	23.52634977	13.90120998	90.19350037
STX4	28.97598487	26.00527373	21.72325807	33.2055678	20.59077569	38.76713066
SLC9A3R1	27.38876418	25.88768502	32.77043738	38.6842451	25.31379137	45.4573951
LEPROTL1	43.5956075	48.21824556	44.53697794	35.04412941	32.75607324	21.36118986
ALYREF	23.1738683	25.10329875	26.20544128	36.85772569	34.00902926	41.92500544
TFE3	28.51420128	23.98391376	22.0745829	33.33193647	27.11834809	38.77959593
NRDC	35.71531056	29.58181477	32.53112908	26.7099934	30.28100573	28.74652751
MMP1	10.20461024	20.75293619	11.02863091	39.80364826	24.92212375	20.88178861
PLBD2	62.41204991	48.83726756	43.91055258	19.5183057	26.74501228	33.64242986
CHMP1A	30.93602067	28.59729117	28.67384045	35.77365811	30.3129075	41.85213837
PSMC5	28.31503576	24.68284346	31.59723016	38.2714078	36.23270695	33.37121126
COX14	37.44741808	33.01435113	30.44671819	42.41673725	28.25933468	32.35358667
LRP1	37.14808372	41.14062375	28.88180243	18.8668415	24.54805315	36.6019943
DHCR7	71.34039652	42.15920756	46.37150929	41.89467934	34.58073047	5.15299546
NFIL3	37.39696712	23.82075081	19.35575933	34.95283285	20.22185734	30.73776419
CMPK1	32.44078514	33.3235386	33.26324061	29.2380784	32.37472895	27.34766007
DYNLT1	29.9893334	21.48233429	21.71727511	31.58546867	20.81161717	19.18368481
TMEM147	34.52202675	31.42257149	29.97292945	39.44589051	37.95227181	29.60538065
GYS1	22.36799482	35.60893266	48.41089595	32.48919996	39.14274343	16.88902666
FTH1P11	20.92126155	26.49127352	18.69269156	41.34378216	22.18793715	52.28784708
ZFP36L2	24.85801334	27.11164771	19.69229849	22.91172579	17.62118351	76.3423603
PLEKHO2	25.155021	19.83766984	13.91638984	23.62952511	11.4036782	77.33487074
RESF1	34.79879299	18.42230034	15.7972284	21.14324757	9.379156674	59.31420839
CLMP	44.67653714	24.72674358	41.81456812	31.51013272	54.62797067	6.002378671
UBE2L3	27.04757053	30.80160308	31.00230084	40.27656289	34.0680343	26.57123268
ZC3H12A	14.82053127	11.70704473	11.48763025	33.25864591	22.79123113	26.44593068
LXN	40.41051963	39.25754096	44.30654684	64.52610615	37.8764182	8.071119012
RBX1	20.64106105	25.61434029	29.83241374	38.43523694	26.43636997	22.99866979
NSDHL	37.8105487	24.46925925	59.81220468	51.64982021	41.88639361	9.62278014
PJA2	32.58073708	29.04890838	33.10375557	25.12313073	27.21624797	26.81518417
ILF3	27.49230397	27.25689038	32.93859997	31.02857251	34.89240715	38.53454451
GIMAP4	28.86137161	8.329075567	10.38319952	20.95845075	9.951217073	61.71195285
DNPH1	25.84107055	33.87764494	30.40964242	34.3565986	31.49039397	31.645933
JOSD2	24.78519735	30.24313168	25.97150017	35.6587056	25.49238371	27.03391662
VSIG4	30.34151803	17.67554291	15.80538688	29.1189364	7.895655687	68.53296955
MOB1A	30.81227998	25.75957745	22.71752806	23.42580675	18.83054623	45.89976829
SCAND1	20.3942339	32.08809679	30.78988611	41.22668851	35.0472382	28.43875202
RHEBP2	22.41480717	30.06289484	26.83984782	33.6088738	30.06133826	25.24738754
MLEC	40.58599087	37.31945566	48.6664983	23.40600427	32.95517753	24.60409392
RAB34	29.35635913	28.7333474	28.75362649	42.80645573	32.31625606	17.01244628
PPM1G	35.88853892	27.56281507	30.11154665	38.06822912	36.57161107	29.50486963
SMAP2	25.77653916	19.86682577	21.50700162	24.82040991	19.70038973	61.00551333
GALNT1	43.7706237	63.67533883	50.65434813	25.62156024	35.25106676	17.34097908
SRPX	27.91980258	28.35090079	22.76743605	36.06126398	53.22283735	11.65142325
ADAMDEC1	42.75178561	5.326977264	8.659345585	14.75477813	6.836023471	108.1612197
PSPHP1	28.29455338	42.74194067	19.84018644	30.50392998	38.85929202	29.56753257
PLAAT3	32.40908587	44.11916097	42.18513029	33.32750783	33.32316078	7.154659679
DNAJC8	28.73267368	28.90183187	26.56319704	38.74221764	30.08446557	38.70225068
GLUD1	28.54266474	29.11585859	28.94891881	24.61360732	24.71390958	27.67458472
TCEAL3	26.95924088	18.58853047	21.8729649	24.37986407	15.38852569	7.092787134
LMF2	30.12756941	32.43125792	27.53312688	32.08083144	31.33771206	40.17325698
RBCK1	30.13919417	24.93670922	21.59364359	25.46068453	22.53415078	26.8772594
MBD4	49.48441753	30.87600147	42.1864798	37.28188077	29.74758105	19.92901033
PRKCA	43.34675556	51.67651763	62.85184938	24.80541989	34.40977973	5.974714173
IDI1	41.30231297	32.80227201	55.92203386	35.73735519	29.99183677	12.47212283
ADAM9	35.33201734	40.42158352	47.36086623	20.28593217	39.81109145	16.01076982
RPL22	23.57827672	27.4707788	22.82269904	39.97549081	23.79781271	24.71587971
USF1	27.03840945	22.2145469	19.87751932	31.2209866	21.61476184	47.32661621
CCNG1	31.06703443	33.5227271	25.41944663	24.73945875	20.47012737	14.38329303
POLR2J	22.99674141	25.96860675	19.94799168	39.41413064	24.39729513	31.17647186
REEP5	31.66661592	32.26136986	34.25138807	38.66422626	38.88936715	30.72523465
EDEM2	33.58906783	30.90247593	20.29706481	26.6815432	23.65774302	41.87164379
RPL14P1	28.01850896	19.18862411	18.96809033	28.56112324	16.65942546	24.19495146
LAGE3	21.76358667	33.51097753	32.43963183	33.37382816	25.41851221	30.53961583
PEF1	24.63165623	29.63534199	28.74651207	36.31102585	31.51773894	32.76059554
ARL8A	33.83500955	25.46008122	21.20584478	31.74900215	20.65235104	58.0611524
NNMT	26.90369235	38.1793298	18.38325712	71.85028955	26.95140864	11.65211316
RCN1	31.45179302	39.93678121	38.0376143	38.2118429	33.64438514	11.72624097
CSK	22.30795321	21.01012277	18.85187446	32.80796111	20.51367984	66.0699563
TGFBI	32.67676307	49.63924208	17.25489103	11.95099768	8.28349688	65.39366031
MT-TG	8.829362066	38.36079794	33.47310058	35.89352517	48.37333172	28.58194815
ACIN1	34.94954203	27.86611791	27.93993459	28.14445624	27.41757255	36.97142448
GAA	34.80144659	40.85175884	29.39764191	20.4661906	17.3913645	55.95205664
RNF167	30.61060029	33.85868084	36.51910394	33.61000331	32.58618485	37.31069179
IFI35	28.96997378	21.49141252	20.13136399	20.14673862	25.39702072	32.9713705
FH	31.25313874	34.66852256	41.86794168	33.45178876	40.43908154	19.4549395
TMEM160	22.2742563	42.45170259	32.14439735	38.1507334	29.54588943	50.79295824
AC034102.1	29.72162078	18.65339068	12.43603273	20.7822492	12.16274279	11.54634992
SEC22B	31.61730184	17.99675147	21.86398198	40.77383742	29.45855092	20.84436356
SUN2	26.55475884	18.09824972	25.86079444	25.94456877	18.48558531	59.89479596
AKR1A1	35.14657564	27.27911509	18.96201276	29.81077721	21.65872917	60.03949122
COPB1	31.64046895	29.21603369	31.09716933	31.70126696	35.84711199	25.86914193
YPEL5	32.15219552	29.77019515	22.63861819	32.03792274	22.17924094	39.75238507
GPR108	26.12369983	20.71128976	21.90805578	26.46118787	21.44806983	35.72521126
OXA1L	29.97978679	30.51429583	29.52747187	30.28404563	26.22928661	26.28166687
TIMP2	28.83140171	60.27932889	32.31613046	25.87399658	30.82279196	52.30298625
LAMC1	38.15212719	42.96279491	39.72384345	20.42154309	41.63336762	11.7224566
CD300A	27.63024803	18.98655073	9.290923179	21.21426875	3.450547419	65.48133846
LMNA	23.81816801	36.5343381	37.73523024	33.94450565	37.64232385	26.04905969
PPP1R9B	33.63492926	30.5809911	24.85549207	24.33988967	23.4920116	53.62323591
PSMD13	26.40805931	25.68839812	28.28850463	35.30648612	51.11526614	30.192847
HDAC1	28.08209105	32.69029319	26.47210791	32.17772691	25.83570127	35.09684506
RAPGEF1	28.94800044	26.37909539	21.34113334	20.04337095	18.4153032	58.27419192
EWSR1	31.13038453	23.5203554	26.11005578	31.17836806	28.56365756	32.85014146
NRBP1	31.53518748	26.68284247	23.89787173	33.72950248	34.17571196	32.91027095
DNAJC5	28.26122966	26.64408941	26.55106636	26.4843627	24.4000288	46.46505739
COPS7A	25.41115274	34.43390295	35.82564667	34.37689734	37.91288262	24.23427153
IL1RN	10.4553097	3.630729503	1.922441587	22.14945889	6.246736346	22.61274522
EHBP1L1	28.82046454	14.87053542	11.36733172	25.59126882	7.947030248	70.00942952
PIK3AP1	24.85819341	14.92899354	10.02427559	20.43365909	7.190231984	50.07870874
NOLC1	24.31833163	23.23481398	30.18649741	29.96422652	47.14511211	21.71364122
TWF1	26.00395332	27.04460749	36.51309148	25.93817089	39.19322487	13.3896105
CLSTN1	34.32498012	35.36303704	36.42754493	27.18022554	35.57762221	28.5065075
HPRT1	23.27840495	33.87885687	30.57016047	33.38271731	29.62216389	21.20596153
YME1L1	32.07845066	28.04167709	33.80897246	27.03240217	33.41705816	20.01320869
OGT	31.09963692	22.96366763	27.75435167	22.0671491	26.25750186	37.88144978
TKT	25.1544827	33.64388536	29.60195869	26.8060103	30.75794523	52.60979512
PTGS2	4.572821364	2.413991819	3.458569177	14.94500361	18.82624531	2.725192398
ERGIC3	36.33138565	37.22204575	28.84967032	31.47321872	25.7336684	22.5536863
EIF3L	23.47919745	31.67779035	27.56466199	29.16488172	29.96384092	22.70056031
C1QA	25.59067563	31.29877173	7.229640986	5.525529401	4.583571432	125.9479945
PFKL	24.41003065	41.85249904	38.26981165	32.56585917	30.44568146	24.33596303
PAK2	27.55887518	21.60722158	27.3539829	27.80541936	30.43688093	29.3751314
PAF1	31.59982213	25.49138743	27.39391572	33.5833855	25.52640913	29.42436347
SLC25A11	26.24153582	36.34163473	35.02687016	34.43055845	32.8805536	30.81437065
LRRC25	21.62120504	15.43592585	11.93418786	30.36163904	7.454316466	91.59884332
FCGR3A	28.07128216	16.51137304	15.58230544	11.8269853	3.706768714	71.71576038
COX6A1	28.42804013	29.88500789	26.56099281	45.44036804	31.56730191	30.6524851
SDHB	28.43470591	25.18046881	22.39652258	32.88052955	31.9764358	32.11115702
NUDT16	17.19445721	11.4886272	14.66120853	13.67469654	7.838558092	7.660889219
PSMC2	25.79431496	27.23269232	38.16671426	33.45869022	42.42670243	31.36097307
TM9SF2	31.01222213	29.46544269	30.36393907	28.14831623	31.42035907	34.07650161
UBXN6	29.60217376	32.28287111	28.66361506	36.13946717	26.87345856	29.39359486
YIF1A	38.76334684	33.2294343	28.56133346	34.14932361	35.53566145	20.74476578
MRPL17	34.5021182	32.48874982	37.7764188	37.57787458	39.22832743	16.23874849
GSR	30.2865258	47.68871628	35.41903819	25.55566605	27.63985743	33.40644134
PLS3	27.1123236	54.95912631	50.40727201	27.50423355	45.2200372	8.269868385
COTL1	21.59687296	24.56939531	15.3433643	35.77394834	38.50834876	74.37816829
AL355916.1	33.36702645	38.33255518	26.15488163	13.28420675	42.0993957	5.734371982
UBE2B	26.69713558	22.8270563	21.17707871	36.03883864	22.07346877	29.80151797
PPA1	27.00971247	21.66956451	23.12080232	33.2301135	35.14791675	12.4596491
FCGR2A	26.69810339	18.79964473	9.048571507	12.65282625	4.79727998	39.44674591
MDFIC	37.85059426	32.55859593	55.9724798	25.59332142	25.86665362	12.82160507
SHKBP1	24.9987205	25.63416992	19.48399924	25.70340316	19.18948182	52.76108477
ENSA	28.3639037	27.94739054	34.43469812	37.08123234	32.07745735	26.57866215
PACSIN2	26.22618849	26.50835605	42.89668169	29.91089598	39.63188791	24.35548193
SUSD6	25.50038458	16.93952289	15.54329624	17.53762938	11.92910248	40.62831793
OGA	27.77880321	24.63720781	26.93275141	22.38088784	21.82484756	37.04965102
NELFB	24.93773365	32.05494856	29.41547552	33.31220603	31.96575781	37.6966639
MPP1	28.74026076	20.34478166	15.45990757	14.24831929	5.252695978	74.60121531
FFAR2	26.62531314	4.261340286	3.918953982	28.015545	6.632856405	34.71330139
USP5	24.23752007	34.44668034	39.33671381	32.07271067	39.74602091	24.0247408
HMGB1	26.9226707	28.61576045	28.62959164	31.43526222	31.87091878	34.94009462
PTPN6	23.81689129	16.67570314	10.8037456	26.3592489	8.427589169	67.54903219
GTPBP2	31.27753872	22.3012874	19.90325009	25.20785426	21.26338538	19.92148481
TWF2	22.72431395	34.68795558	23.88656026	30.40813594	19.72994456	62.71411182
RAB2A	36.81616616	30.92637185	36.29784239	34.28395279	34.57816639	19.38175025
HSPG2	42.12850335	39.41844464	53.73838595	12.88449235	45.65768274	2.950007895
NDUFV1	29.58648167	32.04708888	27.20872597	31.33775781	27.09174414	23.80604422
PBDC1	28.50267304	30.90015729	33.61453622	41.45449385	33.56609591	31.11572483
PSMD1	28.62504034	28.14091326	37.67288733	31.38142036	43.7675912	22.39387648
SRSF6	31.24663246	31.47007004	30.24274803	32.71397924	28.94624323	28.31329887
DNAJB9	26.89720085	21.29933411	21.68102051	22.87439446	21.29849714	16.93745076
ARPC4	28.10615	26.67357649	21.55990533	29.91032351	21.97178936	47.92704721
IK	26.82971274	23.4816064	25.34403746	35.858384	28.87142193	32.28478662
DAPK3	26.5940684	32.4809845	26.87279746	39.8884371	35.99263021	20.52037303
CHST11	36.50285676	41.4374666	40.37293164	21.32254215	38.96392887	25.72023122
GTPBP6	25.19883252	27.80653929	23.51812819	28.4292589	24.15620132	31.22413904
ATP6V1A	35.5590649	27.13200216	32.82339791	22.30933799	23.17873053	35.85593105
G3BP2	30.59239358	27.98602815	32.59142014	24.78088806	35.57434392	20.03084046
ABRACL	27.98682576	29.72730336	23.62252938	30.56444083	19.09406445	38.5114728
CCDC47	33.05353007	27.71212327	39.22134066	30.81848204	36.64107671	22.14871223
PAIP2	25.76115962	27.97883485	31.33518912	35.79177326	27.67195573	23.22396421
ENAH	33.67552967	39.90267776	64.24614749	22.98033629	49.0470771	4.802922423
PLSCR1	32.84718353	16.01475327	13.67436429	18.72719385	18.00860677	35.12702954
SELPLG	25.34954456	17.78070666	12.93693731	22.53231222	7.363970172	95.51000638
NDUFA2	22.39382556	29.39151505	23.86308138	39.56236539	20.63235296	26.96845108
SHMT2	30.51667492	24.95840707	25.25498787	34.32128514	36.4611881	16.66865356
TTYH3	27.84248194	32.39515799	21.55153552	14.10397273	14.61889606	77.96014805
