Gene	C1	C2	C3	C4	C5	P1	P2	P3	P4	P5
CSTF2T	20.78	27.7	33.01	26.18	28.49	38.93	28.87	28.52	29.33	26.76
LPHN3	21.96	17.73	26.77	21.19	26.11	11.03	9.38	23.82	14.99	15.71
KIAA1107	5.32	9.54	6.35	7.67	4.88	9.27	11.09	9.48	8.7	6.29
WWC1	28.57	54.09	44.31	40.24	37.13	35.09	38.18	34.23	14.88	22.71
AGTPBP1	57.18	78.23	86.45	106.29	106.96	58.59	58.44	101.94	62.5	53.7
IQCE	18.74	13.56	11.95	9.42	12.48	15.39	15.83	14.21	12.68	11.08
FMO4	2.02	3.48	3.54	2.93	3.53	4	1.91	3.4	4.16	2.65
FBXW11	130.57	154.78	97.23	135.39	161.52	83.18	114.81	140.61	125.49	140.57
SMG6	56.86	37.48	32.64	41.95	41.24	52.76	57.48	57	46.34	31.91
ANKS1A	185.87	67.72	49.6	64.11	83.64	130.3	111.81	123.42	135.01	87.99
MGRN1	65.29	43.77	35.14	39.52	49.22	64.78	69.29	60.77	41.65	35.92
BICD2	88.85	57.4	57.04	57.71	69.05	70.23	65.77	80.88	62.52	53.74
FMO5	2.15	3.48	3.75	3.69	4.22	9.51	5.48	4.48	6.71	5.43
ATMIN	59.26	69.01	60.63	77.83	77	55.09	60.22	77.39	63.99	61.84
EHBP1	31.71	40.13	41.4	39.48	37.06	47.88	49	41.55	34.85	22.81
WSCD1	0	0.53	0.25	0.4	0.13	0.71	0.12	0.36	0.24	0.76
KIF13B	726.65	564.7	601.9	676.27	702.72	898.47	839.16	912.02	772.46	726.41
UBR2	60.03	110.31	79.67	74.11	85.44	84.23	94.34	99.25	89.47	62.4
ACSL6	3.24	1.79	1.92	2.43	2.82	3.7	3.29	4.24	2.07	1.78
TMEM194A	16.14	18.47	20.15	21.75	25.48	18.61	17.83	23.36	20.15	22.13
FKBP15	34.16	42.4	32.99	33.89	39.73	41.37	39.48	42.33	30.77	27.72
ICOSLG	1.68	2.19	0.87	2.07	2.82	1.73	0.66	3.08	0.7	0.92
SIN3B	75.25	53.31	44.7	41.66	46.97	70.3	71.29	63.5	54.66	44.94
FMOD	0.14	1.76	0.27	0.5	0.78	0.56	1.47	0.66	0.6	0.36
NCAPD3	12.13	13.69	9.46	10.24	11.89	12.42	12.31	15.35	11.49	15.07
DMXL2	58.81	132.64	78.91	90.64	117	93.97	100.56	128.55	86.51	54.82
KIAA0930	45.66	37.56	23.04	41.96	36.64	43.33	29.28	37.56	31.54	48.41
SATB2	12.9	8.1	13.72	10.82	9.7	15.88	15.49	14.79	9.8	5.85
SLC9A8	33.5	34.09	22.94	27.7	32.13	33.93	32.34	44.99	27.86	25.38
CUX2	0.25	0.11	0.04	0.31	0.04	0.11	0.15	0.19	0	0.28
DNAJC13	68.3	106.78	95.33	96.73	100.52	97.99	94.31	101.07	90.39	58.03
ZCCHC11	56.71	60.91	48.45	54.95	48.85	62.16	84.1	64.45	67.94	36.74
FMR1	57.91	57.62	83.34	67.54	79.63	96.47	108.3	88.33	87.05	37.22
TRIM2	10.68	18.31	12.45	13.39	15.98	17.39	21.74	13.29	11.87	8.86
RPGRIP1L	10.3	12.49	12.69	9.76	7.9	12.22	10.44	6.61	9.02	6.9
MAN2B2	53.78	43.53	19.66	34.02	50.49	48.4	42.33	52	47.57	42.11
KIAA1033	70.78	124.51	112.79	123.61	147.54	92.33	102.95	109.98	114.45	73.14
USP22	461.91	359.76	266.05	282.09	468.14	381.02	316.26	463.22	412.14	460.9
NEDD4L	11.48	10	5.77	9.59	15.41	6.71	6.85	6.56	18.83	6.82
SASH1	4.68	5.32	3.63	5.54	6.75	5.7	5.23	9.73	5.57	8.4
TBC1D30	1.43	2.94	1.65	1.57	3.09	2.07	3.05	3.64	1.52	1.72
TTC28	61.64	52.08	44.84	41.12	44.57	62.86	65.91	65.09	64.62	28.82
CLASP1	114.36	108.82	81.4	106.96	96.13	120.9	136.78	129.08	131.79	86.29
DPY19L1	27.19	33.66	54.38	53.98	39.42	20.68	29.59	45.92	33.11	36.68
SZT2	62.82	50.8	36.04	38.39	49.57	64.78	71.69	62.09	45.46	35.5
WDR7	52.4	71.12	65.76	58.98	75.94	71.47	71.15	67.2	64.4	42.41
SYNM	19.65	8.37	9.71	11.23	14.24	8.03	10.78	14.51	12.71	8.92
PHF15	15.44	31.33	14.38	15.69	17.79	27.56	19.07	25.5	18.09	23.15
VPS39	62.28	57.83	53.09	55.9	48.76	53.91	54.85	55.66	48.8	40.27
AFF2	178.15	142.08	153.28	154.84	180.55	245.53	223.8	197.43	226.31	130.29
DNAJC16	42.51	46.6	45.96	45.79	56.23	45.81	48.2	50.74	49.04	30.71
ESYT1	100.13	87.19	84.18	81.64	106.02	96.17	71.39	115.56	97.92	82.5
SYNE1	245.91	160.26	250.35	143.35	234.92	130.73	176.06	175.37	146.03	99.82
SMCHD1	84.71	291.48	125.63	152.67	147.49	123.65	139.82	167.99	130.06	102.77
DOCK9	51.5	71.87	29.37	73.08	43.39	27.52	33.14	52.39	33.33	42.87
KIAA1045	5.07	2.09	2.18	1.51	4.17	5.13	4.4	3.89	4.48	4.03
FN1	3001.16	1601.83	2002.03	2313.94	3112.32	3854.72	4919.79	3678.75	4350.59	1793.05
U2SURP	94.1	104.91	100.79	122.92	115.76	111.28	106.16	106.08	129.94	87.73
KHNYN	92.15	88.82	74.81	68.7	85.64	88.52	77	95.99	70.21	74.63
UBR4	474.86	377.52	318.99	359.96	458.76	350.47	446.7	499.49	373.19	209.44
SUN1	68.43	48.37	59.12	50.75	69.54	65.28	69.9	77.29	83.75	55.16
HAUS5	10.3	9.73	6.82	7.82	9.64	12.67	7.5	13.32	6.31	11.43
VPS8	34.57	54.25	57.52	47.89	53.49	55.47	56.45	69.27	70.47	55
ANGEL1	14.22	18.96	11.87	13.73	18.11	15.81	14.92	20.48	15.81	18.62
USP24	157.01	167.82	145.64	195.58	170.95	159.76	193.65	180.78	169.42	119.02
FAM189A1	10.28	6.47	8.66	15.05	8.35	3.74	7.31	21.22	6.69	5.63
FNBP4	96.3	60.16	95.48	71.1	89.27	84.29	120.57	97.42	87.46	50.45
ZNF629	40.84	29.01	18.22	27.19	31.35	32.35	35.28	37.31	30.27	27.12
PSD3	201.43	294.74	526.06	267.02	367.26	508.73	340.7	278.9	292.45	178.9
OBSL1	197.94	148.73	104.17	141.01	218.37	161.43	138.16	187.27	132.66	218.72
ARHGEF12	162.87	167.08	231.28	173.23	211.11	228.1	220.39	257.75	233.18	134.56
KIAA0895	13.49	10.32	16.75	12.67	18.03	21	17.37	21.79	30.13	18.2
LARP1	237.21	178.06	139.47	184.4	191.72	183.69	212.4	193.82	180.36	134.44
PPP1R13B	34.72	21.2	17.35	22.25	22.18	34.12	33.93	30.04	29.02	29.43
PUM2	175.05	205.31	175.39	197.28	208.48	200.94	201.77	193.65	204.96	113.95
ARHGEF18	45.12	41.71	26.65	32.12	38.45	54.15	38.82	51.85	37.34	52.62
TENC1	47.54	19.65	11.25	19.83	28.57	41	33	41.13	38.07	25.76
CRTC1	12	9.2	5.42	6.86	7.44	14.74	13.44	11.4	7.85	11.24
KIAA0776	32.53	49.09	48.51	53.37	40.47	41.32	53.97	39.79	51.79	41.37
RRP8	19.04	13.5	15.72	13.49	20.42	13.87	16.06	20.04	12.34	15.75
KIAA0947	110.67	108.95	132.72	106.86	132.09	130.32	122.99	126.19	123.16	64.9
SRGAP2	19.04	19.7	15.77	22.39	21.66	30.24	32.28	35.6	24.58	18.4
SMG5	140.58	153.17	120.04	138.37	165.22	128.2	112.56	154.03	110.51	136.94
AHCYL2	18.36	15.03	15.74	15.95	17.78	20.13	18.37	28.06	23.22	15.63
MAU2	52.65	46.04	25.84	33.13	42.76	42.82	39.28	49.15	41.64	44.32
SPECC1L	74.04	71.63	64.38	65.87	64.92	77.48	78.34	77	69.4	50.37
NCSTN	96.95	92.4	82.7	103.87	118.49	83.59	77.11	104.77	91.02	97.12
NUDCD3	54.19	52.64	59.37	44.95	58.96	58.65	50.42	66.07	60.29	59.75
SIK3	90.73	63.34	61.23	69.34	89.8	88.72	88.14	76.55	67.73	38.36
MED13L	187.09	184.8	116.58	176.97	167.36	206.24	202.72	217.38	243.79	130.97
FNTA	17.84	24.62	27.92	27.43	23.75	25.36	20.97	21.02	26.84	26.72
ZDHHC17	29.72	44.17	40.99	37.48	38.33	40.64	39.57	34.52	40.96	34.44
KIAA0368	200.66	169.64	202	228.35	240.7	238.57	220.2	241.14	195.34	134.14
ADNP	169.62	153.76	132.34	167.39	193.96	175.57	179.15	218.23	204.27	121.35
LARS2	32.89	27.19	25.72	25.9	32.49	24.34	24.5	31.92	23.58	26.82
PIP5K1C	38.6	23.47	13.95	18.42	24.5	29.96	25.92	31.51	26.57	15.31
NCAPH	1.18	1.6	0.58	0.63	1.14	0.9	1.36	1.96	0.99	2.53
PPWD1	12.29	16.55	16.65	15.19	11.82	17.33	19.75	15.3	20.12	17.2
CTDNEP1	55.96	43.13	36.85	45.72	60.43	47.31	56.16	67.97	58.84	25.9
ATP13A2	13.42	11.52	6.94	7.13	9.95	6.9	8.7	12.53	10.04	10.12
FRAT2	4.33	13.21	3.3	4.83	7.33	11.07	6.59	9.6	7.57	13.29
FBXO46	21.1	10.16	8.2	10.8	13.11	21.8	20.84	16.47	17.23	15.31
EXOSC2	14.62	18.05	23.23	14.93	19.22	15.32	16.49	16.92	16.61	16.78
DICER1	143.4	178.65	179.6	174.02	190.6	162.63	174.24	205.61	165.18	86.87
COTL1	16.05	48.39	18.22	19.97	42.96	28.42	16.88	44.37	22.55	26.78
SIRT5	13.9	18.42	15.6	18.45	17.41	17.12	14.3	17.13	15.42	19.46
SIRT4	0.18	0.45	0.29	0.09	0.38	0.08	0.22	0.48	0.5	0.2
SIRT3	10.35	7.46	7.52	4.99	6.87	9.57	7.19	9.38	6.8	6.8
SIRT1	66.67	61.47	49.95	70.83	86.98	65.88	86.74	107	83.65	57.85
COMMD3	9.76	16.34	19.76	17.55	19.97	14.38	10.07	14.07	13.52	19.88
NCS1	26.01	19.6	24.5	21.75	25.12	20.38	20.03	27.51	20.92	14.21
ZFPM2	21.8	18.85	16.09	13.9	17.23	49	39.45	24.45	35.59	22.51
KCNH4	0.43	0.19	0.21	0.2	0.15	0.19	0.2	0.16	0	0.08
KCNH3	0.47	1.02	0.23	0.49	0.49	0.15	0.93	1.06	0.31	0.28
MLYCD	17.93	17.75	15.62	13.67	17.31	14.25	11.37	19.08	11.73	15.69
CRB1	0	0	0	0.17	0.17	0.34	0.06	0.57	0.27	0.32
FNTB	1.61	2.03	1.69	1.54	1.32	1.94	1.56	1.37	1.49	2.16
NOMO1	125.25	110.69	102.59	127.52	172.74	84.17	95.51	64.23	84.58	77.95
ITGB3BP	3.83	4.63	3.07	4.37	2.29	4.06	2.68	3.44	2.4	3.91
TMED3	42.24	52.43	55.33	51.08	49.65	34.06	23.23	42.9	32.61	58.97
TDRD7	11.91	16.39	11.75	14.36	15.62	10.15	10.41	14.31	18.86	13.03
GRIP1	46.83	20	24.65	38.29	32.21	33.38	36.97	29.87	27.27	14.71
SLC7A8	36.1	14.25	10.98	33.45	27.66	25.62	31.77	31.05	34.79	27.7
RYBP	50.6	43.02	58.3	50.08	63.4	39.17	41.69	56.14	53.64	29.18
TPSD1	0	0	0	0	0	0	0	0.01	0	0
AP4E1	27.23	28.66	29	29.38	37.09	36.75	38.08	35.18	30.12	22.67
GPR161	22.09	9.76	18.51	11.29	16.23	19.81	17.8	24.22	28.81	17.48
RHOQ	53.99	52.67	59.54	72.18	71.05	64.23	95.51	89.19	74.02	38.41
C3orf27	0.59	0.16	0.58	0.17	0.12	0.38	1.3	0.41	0.91	0
TARDBP	50.43	41.09	42.91	42.52	51.26	44.23	63.53	43.43	49.7	20.04
CELA3B	0.04	0	0	0.03	0.06	0.15	0.09	0.26	0.19	0.06
HARS2	12.95	13.23	12.43	12.42	11.47	11.58	10.89	11.29	13.37	13.89
ATP1B4	6.93	5.19	4.14	4.87	7.49	6.11	6.03	8.72	4.28	3.09
OTP	0	0	0	0.1	0	0	0	0.09	0	0
SLC35A3	28.46	25.56	30.69	41.35	33.06	22.74	34.68	34.72	35.72	20.65
SLC44A1	21.26	33.15	41.36	33.93	37.94	24.93	30.36	40.02	41.38	27.06
SF3B3	190.79	167.32	166.14	187.12	207.65	179.29	176.59	187.44	171.33	142.28
SF3B1	337.27	422.38	374.26	429.96	472.14	394.78	438.63	455.88	464.89	357.55
ANGPTL2	2.81	2.46	1.9	2.26	2.26	1.95	1.64	3.84	1.98	2.43
ABCB10	11.77	16.87	12.26	15.3	15.07	13.12	12.03	16.87	15.93	11.45
ABCB9	2.47	3.4	2.49	1.83	1.78	1.47	1.25	2.21	1.84	1.72
FOLH1	0	0	0	0	0.04	0	0.03	0.19	0.11	0
ABCA6	164.5	243.97	145.84	197.99	247.18	149.14	282.19	338.67	171.4	284.13
ABCA5	28.98	40.91	37.49	36.31	35.77	47.37	59.2	40.39	34.12	31.79
HEY1	0.68	0.75	0.54	0.39	0.52	0.45	0.35	0.72	0.34	0.6
ICMT	34.68	45.45	48.53	46.49	50.74	43.4	37.38	45.24	41.2	41.31
GCAT	11.93	15.35	9.5	10.37	12.51	9.4	7.16	10.98	7.19	15.33
CBX6	15.05	14.76	12.1	10.62	16.06	20.53	14.44	19.77	14.66	13.35
NPTXR	0.79	0.21	0.25	0.3	0.69	0.79	0.86	1.13	1.41	0.52
CBX5	95.44	132.56	90.18	99.1	136.44	111.37	130.13	129.59	108.64	62.68
PHF3	107.39	147.5	120.25	124.99	142.02	151.79	147.83	130.09	131.74	111.35
TRAM1	95.07	167.98	134.92	195.25	178.68	105.04	133.13	158.55	147.28	128.71
CAPN7	47.17	43.58	43.07	40.84	49.78	37.71	45.3	41.64	39.46	34.54
ETHE1	19.54	14.04	14.12	17.96	13.45	11	8.15	8.26	14.12	12.55
QPRT	15.26	35.83	26.56	37.65	40.57	4.83	10.44	21.6	6.48	14.29
BRD4	156.97	77.46	63.27	78.96	104.08	120.62	179.52	126.76	95.78	44.82
SEC11A	48.67	64.89	87.09	70.81	48.63	54.17	50.45	48.11	61.5	68.07
ISCU	29.13	46.44	31.06	38.41	33.48	38.93	39.29	37.24	38.02	39.33
FOLR1	0	0	0	0	0.01	0	0.57	0.01	0	0
SEC61G	11.16	22.41	30.64	26.62	14.62	16.15	16.75	11.12	19.2	17.42
PES1	78.14	75.77	76.48	74.48	87.63	73.14	62.98	70.42	73.41	82.54
TGDS	3.55	4.71	5.58	5.67	3.79	3.16	3.84	3.79	1.92	4.97
LEPROTL1	47.61	68.82	69.43	69.21	72.29	82.16	72.33	69.92	83.76	72
CES3	10.12	7.59	4.66	4.59	7.92	6.37	5.77	11.38	8.47	5.51
CBX7	10.03	6.66	3.61	3.27	4.89	6.92	9.24	6.77	7.09	5.47
HEY2	4.96	6.5	4.22	5.66	4.96	6.24	4.5	5.35	6.71	7.66
TNFRSF13B	0	0	0.12	0.11	0.1	0	0.09	0.04	0	0
HAAO	0.79	0.37	0.25	0.41	0.3	0.28	0.88	0.61	0.41	1.2
MACF1	853.56	668.09	754.03	625.84	871.49	989.34	1090.74	1027.56	916.46	358.27
FOLR2	0.9	1.26	0.74	1.14	3.32	4.79	1.48	3.03	0.28	4.53
DAAM2	1.54	1.12	1.3	1.44	1.42	1.9	2.76	2.79	4.44	1.96
ZFYVE26	62.45	62.62	48.1	47.71	67.38	61.77	65.28	79.91	53.17	43.54
RIMBP2	0	0	0.27	0	0	0	0.46	0.15	0	0
TMEM131	99.67	106.78	142.01	114.68	134.42	135.25	135.63	114.49	107.26	55.84
KIAA0240	27.71	32.97	18.05	26.22	25.72	31.22	30.79	29.04	35.59	18.92
LRRC8B	141.42	90.4	193.65	122.16	150.9	139.7	126.69	124.97	98.59	54.76
TTC9	7.83	6.23	9.15	7.29	9.87	16.05	14.19	13.2	15.89	9.26
POFUT1	54.55	60.77	48.28	59.64	72.67	43.18	45.64	65.32	50.97	49.29
KCTD2	48.19	46.95	31.18	34.62	38.04	30.38	33.4	38.8	40.77	38.24
NUP188	190.49	169.48	139.43	165.43	238.41	175.47	168.66	186.63	141.52	95.21
SUZ12	37.12	45.26	41.65	45.18	56.44	44	55.54	44.62	42.65	22.83
SCRIB	159.36	82.83	64.11	78.08	116.44	131.34	97.91	149.29	85	94.99
KIAA0146	65.67	59.49	42.21	58.8	56.59	50	69.6	64.43	55.12	64.36
MORC3	47.49	86.89	68.25	61.37	64.08	48.14	69.13	58.69	82.39	54.34
SLC39A14	261.94	173.14	186.36	215.84	219.06	151.66	187.97	197.51	173.65	170.86
SKIV2L2	44.37	59.84	71.08	51.29	59.79	57.09	62.45	49.95	56.24	43.1
R3HDM1	42.19	43.23	31.32	42.56	45.11	40.58	51.42	46.16	38.2	32.53
ANP32D	0	0	0	0	0.04	0	0.09	0.02	0	0
FOLR3	0.21	0.13	0.16	0.03	0.2	0.04	0	7.94	0	2.41
ANP32C	0	0	0	0	0	0	0.03	0.1	0	0
RPL13A	387.01	489.94	421	409.3	511.79	405.31	263.02	430.45	400.97	504.44
KAT6B	56.52	48.79	36.85	54.29	48.47	46.84	63.36	50.63	62.6	34.76
CABIN1	150.78	95.34	64.34	86.43	99.84	82.54	105.65	122.43	88.92	76.87
SRRM2	633.41	356.9	295.21	357.43	444.89	568.41	1088.15	588.93	471.8	122.77
HMHA1	20.83	44.57	15.41	19.97	32.95	19.19	20.77	40.51	13.5	18.84
ACAP2	37.35	88.74	44.33	62.38	56.01	49.34	53.72	65.71	51.89	46.38
ZNF281	151.51	185.2	181.74	191.28	238.84	160.47	163.49	215.62	152.74	145.62
CLCF1	4.5	1.84	6.74	2.59	5.22	7.03	4.88	6.74	3.52	1.06
FOS	978.63	1095.52	541.89	870.51	853.04	1409.31	1545.05	1830.55	1029.93	1479.3
NNT	36.29	41.2	42.86	40.26	38.31	41.54	42.67	48.78	45.31	42.35
MMD	231.9	322.47	264.5	511.64	275.82	106.62	137.03	208.64	173.32	144.26
PRAME	39.32	29.41	23.55	49.42	31.15	28.72	22.56	24.12	43.53	40.09
PIK3R5	5.88	25.69	4.6	12.33	14.33	6.26	5.29	17.5	3.77	7.58
TNPO3	103.72	123.74	101.87	108.03	125.47	104.72	92.95	120.67	104.87	111.05
ADAT1	20.46	21.42	22.24	25.05	31.25	28.72	25.59	31.92	19.23	20.35
OR52A1	0	0	0	0	0.11	0	0	0	0	0
SLC16A8	0.39	0.53	0.19	0.26	0.51	0.9	0.22	0.42	0.3	0.38
FOSB	1620.71	873.02	588.38	839.49	717.57	1816.68	1562.94	1229.8	1479.91	1640.17
SEC14L2	169.39	117.99	123.42	144.4	181.46	77.22	88.34	142.37	102.91	98.46
MAPK8IP2	2.7	0.96	1.9	1.3	1.18	5.41	1.65	3.03	2.64	3.55
RBFOX2	55.08	58.02	72.75	52.31	54.52	77.86	66.36	61.96	68.21	42.67
SEZ6L	0.07	0.11	0.16	0.49	0.18	0.26	0	0.39	0.22	0.4
ATP6V0A2	18.92	17.14	15.33	16.16	23.97	22.43	21.14	25.38	18.03	13.89
SYNGR4	0	0	0	0.06	0	0	0	0	0	0
LILRA4	0	1.5	0	0.09	0.19	0.49	0.06	0.42	0	0
TTC33	13.54	17	15.33	14.35	17.54	15.39	17.94	14.67	13.63	16.26
DNPEP	22.93	17.7	22.28	20.07	24.89	18.46	17.5	25.77	18.97	21.69
FOSL2	564.87	407.86	372.22	439.37	487.28	620.52	574.91	696.25	533.9	441.24
PSD4	15.82	24.38	14.63	10.77	16.32	18.36	11.39	22.95	16.41	18.08
RASD2	0	0	0	0.14	0.28	0	0.12	0.27	0	0
CDK20	6.84	5.99	7.75	4.66	7.36	7.42	6.76	6.29	4.67	5.81
HYAL4	0.02	0	0.14	0	0.05	0	0.06	0.16	0.05	0
TSPAN12	5.28	11.98	13.42	7.94	11.5	16.73	13.51	9.76	11.46	14.05
TSPAN15	0.61	0.53	0.33	0.2	0.51	0.32	0.48	1.14	0.68	0.48
PIGN	16.09	24.33	27.53	19.39	26.28	20.7	15.69	16.22	23.9	22.69
SNAPIN	21.21	23.07	25.64	21.86	23.43	21.37	14.26	23.29	24.75	31.23
WBP2	69.06	76.01	46.84	56.3	72.47	64.53	59.14	69.55	60.12	65.95
WBP1	1.65	1.87	0.76	0.6	0.54	0.53	0.39	1.38	1.06	1.52
FPGS	36.4	38.21	25.16	34.38	30.79	40.02	29.51	40.63	33.51	56.18
GTPBP4	74.47	84.43	118	79.57	78.9	76.43	78.78	70.67	77.29	69.81
CLDN14	0.29	0.08	0.1	0	0.05	0	0.11	0.05	0	0
CHST5	3.69	2.06	1.81	1.53	2.48	4.19	3.01	3.71	2.05	1.48
DDAH2	22.79	12.14	12.78	13.57	19.18	22.33	12.76	23.63	26.2	36.04
LPAR3	25.67	19.17	19.97	17.62	28.81	12.93	21.18	18.59	11.92	7.28
ZNF346	5.37	6.23	4.76	6.82	5.8	9.12	6.29	6.14	4.84	7.92
ARL2BP	46.14	48.98	51.15	60.42	64.1	55.36	43.66	60.29	56.62	61.24
PADI4	0.64	9.38	0.31	1.67	2.39	1.33	1.05	3.59	0.41	1.28
FPR1	5.55	111.2	10.72	20.86	58.82	14.57	15.26	62.09	10.93	28.54
PRG1	0.21	0.05	0	0	0	0	0	0.02	0	0
DDAH1	26.71	29.06	37.49	36.22	29.35	29.49	23.16	43.4	38.68	24.23
FPR2	1.81	28.1	2.31	6.23	11.72	3.29	4.15	17.58	4.02	8.3
CDC42EP4	94.3	49.33	40.68	45.91	39.69	63.08	44.36	42.22	45.15	30.33
CASP14	0.02	0	0	0	0.04	0	0.02	0.05	0	0
CCNDBP1	66.64	65.1	55.29	54.17	72.49	58.05	50.42	71.5	68.41	72.68
SMUG1	7.81	9.33	10.47	8.03	13.66	10.73	9.01	12.86	8.29	11.79
VSIG2	0.29	0	0.06	0.01	0.04	0.09	0.25	0.12	0.31	0.1
TMEM50A	67.73	75.34	94.16	84.67	85.06	68.89	66	82.09	70.08	62.7
DDX58	12.07	37.38	16.42	13.26	19.31	17.91	20.58	25.4	23.44	16.1
C17orf81	8.69	8.69	9.44	5.8	9.2	8.78	5.71	7.53	8.1	12.61
KLHDC2	26.48	30.16	27.74	34.33	29.7	29.12	24.1	30.9	35.34	38.97
CARHSP1	206.63	159.32	130	191.1	159.77	63.65	62.19	135.13	123.41	194.79
FPR3	2.94	10.16	2.64	5.33	16.97	12.03	10.66	17.53	2.95	8.36
PDSS1	6.99	5.64	5.98	4.86	6.6	4.38	4.09	4.06	4.99	3.61
C17orf88	0.43	0.03	0.19	0.19	0.43	0.43	0.28	0.57	0.8	0
LEMD3	29.2	28.02	32.7	31.73	38.55	34.02	28.11	42.38	36.08	38.08
HEBP2	12.74	21.47	17.04	18.76	16.9	9.27	15.21	19.64	19.96	12.35
ORC6	4.53	2.83	2.45	3.23	4.03	3.21	3.53	5.69	2.29	3.67
ORC3	13.54	19.22	14.49	15.69	14.9	17.54	15.98	13.87	15.93	16.62
OPN3	3.62	5.64	3.92	5.43	6.48	4.27	3.98	6.87	5.08	6.73
ACOT9	48.35	52.22	62.28	50.27	54.59	48.93	42.74	52.39	45.91	47.89
PATZ1	11.75	15.61	8.41	11.39	13.44	15.21	11.62	15.48	17.9	13.71
AMACR	0.79	1.28	1.26	0.6	0.59	0.86	0.83	1.2	0.7	1.08
CLEC5A	2.67	5.11	1.4	4.92	8.02	2.35	4.06	5.48	1.26	2.99
CORO1C	232.32	128.25	272.19	179.22	257.63	219.95	192.93	260.37	201.93	103.19
DAPK2	0.36	2.22	0.64	0.69	1.07	0.41	1.3	1.5	0.99	0.48
CD2AP	41.79	55.93	62.22	64	58.05	63.65	67.48	54.52	58.29	41.75
MKRN1	58.81	95.74	58.67	52.79	64.72	76.84	65.41	77.21	76.32	73.04
MKRN2	32.73	33.02	35.84	37.38	38.59	35.04	27.77	34.72	31	28.52
PHLDA3	3.78	3.24	4.04	2.43	4.53	4.21	3.16	4.34	2.64	2.45
ZMYND8	71.81	59.76	68.58	57.54	52.99	123.86	103.86	75.66	73.94	48.89
PPY2	0	0.03	0	0.03	0.05	0.23	0.22	0.1	0	0.12
PYY2	2.62	1.26	0.43	0.77	1.46	2.61	2.24	2.4	1.76	1.68
SH3BP1	3.51	6.63	2.04	3.21	2.44	1.99	2.65	4.31	2.33	2.55
TSSK2	0	0	0.04	0	0	0	0	0	0	0.06
ZIM2	12.27	6.18	6.16	8.07	6.15	13.89	12.74	8.79	12.86	11.18
NTSR2	1	0.8	0.43	0.13	0.51	0.92	2.27	1.25	0.6	0.72
BACE1	180.35	136.06	110.66	131.82	172	123.67	141.37	196.94	141.25	124.03
RUSC1	10.94	8.8	5.71	6.94	8.94	11.97	12.59	11.71	8.96	8.22
CBLC	0	0	0.04	0.2	0.1	0	0.03	0.06	0	0
FAM89B	11.16	11.52	6.47	8.87	9.91	12.54	8.62	14.58	15.34	15.79
SPO11	0	0	0	0	0.01	0	0	0.02	0	0
PRND	9.33	7.25	3.05	8.07	5.45	4.36	4.3	12.51	6.14	11.41
BRD7P3	1.72	2.22	1.07	1.94	1.57	1.62	2.99	2.58	1.37	0.72
KCNE1L	2.79	0.94	1.4	1.4	1.91	2.09	1.91	2.53	1.31	2.71
CA14	0.3	0.7	0.35	0.5	0.5	0.47	1.25	0.65	0.11	0.28
KPNA6	130.5	126.46	129.48	134.47	160.14	140.51	131.32	161.34	138.26	98.44
SSBP2	73.3	79.3	95.27	78.57	95.79	103.29	73.22	86.91	92.61	68.49
NUP62	39.66	30.72	22.85	32.19	34.29	42.59	30.64	34.82	31.57	31.33
RABGAP1	65.97	71.2	54.34	64.3	72.6	76.3	78.44	81.65	72.95	49.67
LRRC6	4.55	2.97	3.09	2.81	2.77	4.08	4.13	2.07	3.73	3.45
HSPBP1	18.29	19.2	18.96	13.2	22.29	17.2	12.65	20.07	14.67	16.02
LDOC1	6.34	5.03	3.34	2.86	3.55	4.55	8.18	4.71	4.7	2.14
SNHG1	4.87	5.21	6.08	6.29	7.67	7.69	6.45	7.89	8.48	9.72
LY96	1.22	4.41	1.03	2.06	1.42	1.9	1.25	2.99	0.42	1.52
EDC4	52.59	35.88	31.02	32.05	48.17	47.11	40.93	46.29	41.72	42.05
PPP1R15A	470.88	327.71	306.96	370.98	409.35	471.7	403.19	483.34	436.34	576.22
PLD3	228.54	173.33	125.13	158.31	237.54	209.03	162.89	245.75	162.5	244.48
ARFIP2	38.23	43.63	37.38	35.92	52.67	44.44	37.66	45.71	38.71	40.97
SSBP3	27.57	10.43	8.2	10.22	9.76	13.06	17.94	10.16	14.89	15.69
POLA2	2.79	4.28	2.37	3.49	3.48	3.53	2.9	3.48	2.19	4.61
TRIM29	0.32	0.05	0.08	0	0.03	0.11	0.4	0.06	0	0
PLXNB2	233.73	127.75	100.75	109.99	158.99	251.08	207.85	169.47	157.34	94.57
SLC7A11	11	8.42	34.48	14.75	25.85	14.85	17.83	17.05	13.44	6.96
LSM5	5.66	10	10.37	10.49	5.79	6.49	6.8	5.56	10.15	7.52
PLA2G15	13.43	8.18	8.31	8.34	15.52	9.27	7.85	16.91	9.28	6.45
ZKSCAN5	37.08	22.7	24.4	28.88	41.76	32.58	37.69	41.4	35.58	27.3
TMEM2	37.62	40.59	43.42	43.74	50.78	51.05	49.32	59.1	49.41	27.42
TMEFF2	0.38	0	0.82	0.39	0.45	0	0	0.29	0	0.24
STX12	52.43	61.57	60.34	69.95	66.86	58.38	59.2	67.26	81.53	70.2
SMPX	0	0	0.08	0	0	0	0	0	0	0
SH3BP4	60.28	20.37	40.47	44.11	69.79	51.79	49.83	72.01	61.79	40.91
